,상가업소번호,상호명,상권업종소분류코드,경도,위도,시도명,시군구명,법정동명
96782,18145184,아이럽베지,Q08A01,128.418749906059,35.660562628232,대구광역시,달성군,구지면
48401,12455188,뉴욕핫도그앤커피계명대학교동영관점,Q12A01,128.481507711961,35.8535672624937,대구광역시,달서구,신당동
53500,25584808,미성참갈비,Q01A02,128.598709433366,35.9227304646038,대구광역시,북구,서변동
13234,25625988,갈매기먹짱,Q01A02,128.547082146806,35.9258159451733,대구광역시,북구,태전동
85389,17445912,송림,Q01A01,128.542686633988,35.9198872031448,대구광역시,북구,태전동
12725,26040365,국밥인생,Q01A01,128.572122676929,35.8914672014423,대구광역시,북구,노원동2가
101711,18391124,포에버,Q09A10,128.533784441636,35.841638159031,대구광역시,달서구,본리동
88280,17572079,본코다리,Q03A99,128.536601758732,35.8654747339737,대구광역시,서구,중리동
85756,17441349,하오마루프룻,Q01A01,128.530409382338,35.8368309878294,대구광역시,달서구,본동
42245,26379530,전통소구레국밥,Q01A01,128.562854181582,35.8401625504387,대구광역시,남구,대명동
24575,12651781,다섯손가락,Q04A01,128.629687740706,35.8382536434139,대구광역시,수성구,지산동
21309,23242665,마니오레,Q01A99,128.599329223151,35.8667825599886,대구광역시,중구,삼덕동1가
29865,17029457,스시201,Q03A03,128.534563219406,35.8521171471309,대구광역시,달서구,죽전동
70668,11752087,각시,Q01A99,128.459840411502,35.6978641222668,대구광역시,달성군,유가읍
44400,19913122,시골장터,Q01A01,128.564507072648,35.8906289543577,대구광역시,북구,노원동3가
4310,15574839,돈박사곱창,Q01A03,128.59075490534,35.8424081449155,대구광역시,남구,대명동
46113,12475771,맛있는579,Q09A01,128.669511893181,35.8761101408689,대구광역시,동구,방촌동
18078,23206455,맥도날드,Q07A04,128.546518213015,35.9227720644751,대구광역시,북구,태전동
15047,16600792,빅토리아파크,Q12A01,128.504466083333,35.7532264488808,대구광역시,달성군,옥포읍
66428,26136751,마실터,Q01A01,128.446268132745,35.731021863179,대구광역시,달성군,논공읍
71276,12523583,몽글몽글구름순두부,Q01A15,128.630241202142,35.9765754831864,대구광역시,동구,중대동
49668,25277180,대백손칼국수,Q04A02,128.567772148354,35.9584916125036,대구광역시,북구,학정동
42260,20619486,사리원,Q01A01,128.554879407002,35.8680866724773,대구광역시,서구,평리동
23904,12648185,토브커피에이전시협동조합,Q12A01,128.6241515185,35.8295667013843,대구광역시,수성구,두산동
51659,23303786,본도시락,Q07A02,128.608741497428,35.8928464742267,대구광역시,북구,산격동
12525,20654876,사철오미각식당,Q01A07,128.603889592959,35.8753042512177,대구광역시,북구,칠성동1가
29296,17040900,기브온,Q12A01,128.369043346775,35.7026294167767,대구광역시,달성군,구지면
73378,26416235,처갓집양념치킨,Q05A08,128.448991611689,35.6943086691437,대구광역시,달성군,현풍읍
101413,18413004,에브리커피,Q12A01,128.549135173688,35.8074626296369,대구광역시,달서구,도원동
33619,16122463,꼬지쟁이,Q09A03,128.56482915447,35.8548629394413,대구광역시,달서구,두류동
70008,11752724,맨션5,Q01A01,128.592106127558,35.8693060243587,대구광역시,중구,종로2가
17325,16637483,이천짜장면삼천탕수육,Q02A01,128.632793489782,35.8209318716054,대구광역시,수성구,지산동
52278,12296824,상화식당,Q01A01,128.596797787313,35.8732666523219,대구광역시,중구,교동
43550,15986882,예담칼국수,Q04A02,128.71812114128,35.880191756465,대구광역시,동구,각산동
